task_id,provider,model,http_code,status,latency_ms,json_parse_ok,judge_status,content_completeness,age_appropriateness,teaching_design_quality,json_structure_usability,low_age_support_strategy,resource_recommendation_quality,ai_intelligence,total_score,brief_reason
Y1-T1,OpenAI,gpt-5.4,200,OK,259043.01,False,judge_parse_error,10,10,10,7,5,5,2,49,JSON评审输出解析异常，使用保底分数
Y1-T2,OpenAI,gpt-5.4,200,OK,193315.61,False,judge_parse_error,10,10,10,7,5,5,2,49,judge parse fallback
Y1-T3,OpenAI,gpt-5.4,200,OK,127010.11,False,judge_parse_error,10,10,10,7,5,5,2,49,JSON评审输出解析异常，使用保底分数
Y1-T4,OpenAI,gpt-5.4,200,OK,130585.38,False,judge_parse_error,10,10,10,7,5,5,2,49,JSON评审输出解析异常，使用保底分数
Y1-T5,OpenAI,gpt-5.4,200,OK,205935.96,True,ok,17,20,20,13,10,8,5,93,内容全面详实，年龄适配良好，教学支架充分
Y1-T6,OpenAI,gpt-5.4,400,HTTP_ERROR,100.0,False,skipped,0,0,0,0,0,0,0,0,generation failed
Y1-T7,OpenAI,gpt-5.4,400,HTTP_ERROR,9529.74,False,skipped,0,0,0,0,0,0,0,0,generation failed
Y1-T8,OpenAI,gpt-5.4,200,OK,173728.1,False,judge_parse_error,10,10,10,7,5,5,2,49,JSON评审输出解析异常，使用保底分数
Y1-T9,OpenAI,gpt-5.4,200,OK,148450.05,False,judge_parse_error,10,10,10,7,5,5,2,49,评审解析失败，评分采用默认值
Y1-T10,OpenAI,gpt-5.4,200,OK,215646.49,True,ok,19,19,19,11,9,8,3,88,内容详尽且适龄，教学环节设计清晰，支持策略充足
Y1-T11,OpenAI,gpt-5.4,200,OK,35265.91,False,judge_http_520,10,10,10,7,5,5,2,49,评审解析失败，评分采用默认值
Y1-T12,OpenAI,gpt-5.4,400,HTTP_ERROR,24324.42,False,skipped,0,0,0,0,0,0,0,0,generation failed
Y1-T13,OpenAI,gpt-5.4,200,OK,225564.73,False,judge_http_520,10,10,10,7,5,5,2,49,评审解析失败，评分采用默认值
Y1-T14,OpenAI,gpt-5.4,200,OK,202105.7,False,judge_parse_error,10,10,10,7,5,5,2,49,judge parse fallback
Y1-T15,OpenAI,gpt-5.4,200,OK,111790.59,False,judge_parse_error,10,10,10,7,5,5,2,49,评审解析失败，评分采用默认值
Y1-T16,OpenAI,gpt-5.4,200,OK,123620.37,False,judge_parse_error,10,10,10,7,5,5,2,49,评审解析失败，评分采用默认值
Y1-T17,OpenAI,gpt-5.4,200,OK,207886.92,False,judge_http_520,10,10,10,7,5,5,2,49,JSON评审输出解析异常，使用保底分数
Y1-T18,OpenAI,gpt-5.4,200,OK,87125.0,True,ok,13,16,13,12,6,5,2,67,内容较完整但部分截断，教学目标清晰但流程可细化
Y1-T19,OpenAI,gpt-5.4,400,HTTP_ERROR,48145.83,False,skipped,0,0,0,0,0,0,0,0,generation failed
Y1-T20,OpenAI,gpt-5.4,200,OK,36080.25,True,ok,5,4,5,3,2,4,2,25,生成失败，未返回有效内容，需重新请求
Y1-T21,OpenAI,gpt-5.4,200,OK,211218.06,False,judge_parse_error,10,10,10,7,5,5,2,49,评审解析失败，评分采用默认值
Y1-T22,OpenAI,gpt-5.4,200,OK,78867.95,True,ok,10,12,9,9,6,6,2,54,整体框架完整，低龄支持有考虑，但JSON结构待优化
Y1-T23,OpenAI,gpt-5.4,200,OK,32859.84,True,ok,11,11,12,6,6,5,2,53,教学环节设计合理，内容较全面，但缺少部分关键要素
Y1-T24,OpenAI,gpt-5.4,400,HTTP_ERROR,37287.0,False,skipped,0,0,0,0,0,0,0,0,generation failed
Y1-T25,OpenAI,gpt-5.4,200,OK,189918.11,False,judge_http_520,10,10,10,7,5,5,2,49,JSON评审输出解析异常，使用保底分数
Y1-T26,OpenAI,gpt-5.4,200,OK,194721.31,True,ok,4,6,3,5,2,2,1,23,教案严重缺失，仅有片段内容，缺少评估与资源
Y1-T27,OpenAI,gpt-5.4,200,OK,110954.91,True,ok,3,3,3,5,2,3,0,19,输出不完整，关键教学要素缺失，无法正常使用
Y1-T28,OpenAI,gpt-5.4,200,OK,132370.06,True,ok,16,20,19,15,10,8,5,93,内容全面详实，年龄适配良好，教学支架充分
Y1-T29,OpenAI,gpt-5.4,200,OK,164351.06,False,judge_parse_error,10,10,10,7,5,5,2,49,评审解析失败，评分采用默认值
Y1-T30,OpenAI,gpt-5.4,200,OK,131587.11,False,judge_http_520,10,10,10,7,5,5,2,49,judge parse fallback
Y1-T31,OpenAI,gpt-5.4,200,OK,153897.95,False,judge_http_520,10,10,10,7,5,5,2,49,JSON评审输出解析异常，使用保底分数
Y1-T32,OpenAI,gpt-5.4,200,OK,209673.62,False,judge_parse_error,10,10,10,7,5,5,2,49,评审解析失败，评分采用默认值
Y1-T33,OpenAI,gpt-5.4,200,OK,141657.56,True,ok,15,14,12,10,6,6,4,67,整体框架完整，低龄支持有考虑，但JSON结构待优化
Y1-T34,OpenAI,gpt-5.4,200,OK,113525.74,True,ok,12,13,12,8,4,5,3,57,内容较完整但部分截断，教学目标清晰但流程可细化
Y1-T35,OpenAI,gpt-5.4,200,OK,117884.6,False,judge_http_520,10,10,10,7,5,5,2,49,评审解析失败，评分采用默认值
Y1-T36,OpenAI,gpt-5.4,200,OK,198359.99,True,ok,12,10,11,5,5,4,2,49,JSON解析错误，格式不符合要求，内容不完整
Y1-T1,OpenAI,gpt-5-mini,200,OK,80786.53,False,judge_parse_error,10,10,10,7,5,5,2,49,评审解析失败，评分采用默认值
Y1-T2,OpenAI,gpt-5-mini,200,OK,82329.13,False,judge_http_520,10,10,10,7,5,5,2,49,JSON评审输出解析异常，使用保底分数
Y1-T3,OpenAI,gpt-5-mini,200,OK,86869.49,True,ok,16,18,17,13,10,8,5,87,教案结构完整，低龄支持到位，活动设计丰富多样
Y1-T4,OpenAI,gpt-5-mini,200,OK,101003.12,True,ok,16,19,16,10,9,8,3,81,教案结构完整，低龄支持到位，活动设计丰富多样
Y1-T5,OpenAI,gpt-5-mini,200,OK,85816.31,False,judge_http_520,10,10,10,7,5,5,2,49,评审解析失败，评分采用默认值
Y1-T6,OpenAI,gpt-5-mini,200,OK,95275.4,True,ok,17,18,19,10,8,10,5,87,教学流程详细，互动设计丰富，支持策略针对性强
Y1-T7,OpenAI,gpt-5-mini,200,OK,89410.81,False,judge_http_520,10,10,10,7,5,5,2,49,judge parse fallback
Y1-T8,OpenAI,gpt-5-mini,200,OK,95848.46,False,judge_http_520,10,10,10,7,5,5,2,49,评审解析失败，评分采用默认值
Y1-T9,OpenAI,gpt-5-mini,200,OK,81654.82,True,ok,16,19,18,12,9,8,3,85,教案完整度高，差异化策略清晰，资源配置合理
Y1-T10,OpenAI,gpt-5-mini,200,OK,84341.34,False,judge_parse_error,10,10,10,7,5,5,2,49,评审解析失败，评分采用默认值
Y1-T11,OpenAI,gpt-5-mini,200,OK,90979.67,False,judge_parse_error,10,10,10,7,5,5,2,49,JSON评审输出解析异常，使用保底分数
Y1-T12,OpenAI,gpt-5-mini,200,OK,79709.42,True,ok,17,19,18,14,8,9,4,89,教学目标明确，流程逻辑清晰，资源推荐贴合实际
Y1-T13,OpenAI,gpt-5-mini,200,OK,93708.07,True,ok,9,7,6,2,4,3,0,31,候选教案缺失，未提供目标/流程/资源等关键内容
Y1-T14,OpenAI,gpt-5-mini,200,OK,89246.61,False,judge_parse_error,10,10,10,7,5,5,2,49,评审解析失败，评分采用默认值
Y1-T15,OpenAI,gpt-5-mini,200,OK,85766.66,False,judge_http_520,10,10,10,7,5,5,2,49,judge parse fallback
Y1-T16,OpenAI,gpt-5-mini,200,OK,92358.47,True,ok,8,14,10,5,6,6,2,51,教案可用但不够完整，目标与流程清晰，评价资源待补
Y1-T17,OpenAI,gpt-5-mini,200,OK,101697.76,True,ok,15,16,12,11,6,5,4,69,内容详实但结构有瑕疵，教学策略可行但差异化不够
Y1-T18,OpenAI,gpt-5-mini,200,OK,87339.27,True,ok,12,15,8,6,5,4,3,53,主体内容到位，支架策略存在，但文档完整性受影响
Y1-T19,OpenAI,gpt-5-mini,200,OK,95795.7,False,judge_http_520,10,10,10,7,5,5,2,49,评审解析失败，评分采用默认值
Y1-T20,OpenAI,gpt-5-mini,200,OK,99594.31,False,judge_parse_error,10,10,10,7,5,5,2,49,评审解析失败，评分采用默认值
Y1-T21,OpenAI,gpt-5-mini,200,OK,80971.22,True,ok,13,14,16,10,9,6,4,72,环节衔接自然，儿童化设计到位，评估方法具体
Y1-T22,OpenAI,gpt-5-mini,200,OK,95308.85,False,judge_parse_error,10,10,10,7,5,5,2,49,JSON评审输出解析异常，使用保底分数
Y1-T23,OpenAI,gpt-5-mini,200,OK,92489.74,True,ok,12,11,9,6,5,5,2,50,主体内容到位，支架策略存在，但文档完整性受影响
Y1-T24,OpenAI,gpt-5-mini,200,OK,90900.91,True,ok,19,20,18,10,9,8,4,88,教案完整度高，差异化策略清晰，资源配置合理
Y1-T25,OpenAI,gpt-5-mini,200,OK,83499.14,True,ok,20,19,19,15,8,9,3,93,教学流程详细，互动设计丰富，支持策略针对性强
Y1-T26,OpenAI,gpt-5-mini,200,OK,96275.58,True,ok,18,20,18,12,8,7,5,88,环节衔接自然，儿童化设计到位，评估方法具体
Y1-T27,OpenAI,gpt-5-mini,200,OK,85195.67,True,ok,18,20,15,11,10,7,4,85,内容详尽且适龄，教学环节设计清晰，支持策略充足
Y1-T28,OpenAI,gpt-5-mini,200,OK,86337.71,True,ok,16,20,15,15,9,10,3,88,内容全面详实，年龄适配良好，教学支架充分
Y1-T29,OpenAI,gpt-5-mini,200,OK,82818.23,True,ok,20,20,17,13,9,7,5,91,内容全面详实，年龄适配良好，教学支架充分
Y1-T30,OpenAI,gpt-5-mini,200,OK,98322.8,True,ok,13,16,14,10,8,5,2,68,教学环节设计合理，内容较全面，但缺少部分关键要素
Y1-T31,OpenAI,gpt-5-mini,200,OK,81377.47,True,ok,10,12,9,5,6,4,3,49,JSON解析错误，格式不符合要求，内容不完整
Y1-T32,OpenAI,gpt-5-mini,200,OK,83825.22,False,judge_http_520,10,10,10,7,5,5,2,49,JSON评审输出解析异常，使用保底分数
Y1-T33,OpenAI,gpt-5-mini,200,OK,85775.26,True,ok,19,20,17,13,8,10,3,90,教学目标明确，流程逻辑清晰，资源推荐贴合实际
Y1-T34,OpenAI,gpt-5-mini,200,OK,89964.95,True,ok,18,19,16,10,9,10,4,86,内容详尽且适龄，教学环节设计清晰，支持策略充足
Y1-T35,OpenAI,gpt-5-mini,200,OK,92330.74,True,ok,12,13,13,8,5,4,2,57,教学环节设计合理，内容较全面，但缺少部分关键要素
Y1-T36,OpenAI,gpt-5-mini,200,OK,96572.82,False,judge_parse_error,10,10,10,7,5,5,2,49,评审解析失败，评分采用默认值
Y1-T1,Anthropic,Claude Opus 4.6,200,OK,21273.41,False,judge_http_520,10,10,10,7,5,5,2,49,JSON评审输出解析异常，使用保底分数
Y1-T2,Anthropic,Claude Opus 4.6,200,OK,17560.82,False,judge_parse_error,10,10,10,7,5,5,2,49,judge parse fallback
Y1-T3,Anthropic,Claude Opus 4.6,200,OK,25702.76,False,judge_http_520,10,10,10,7,5,5,2,49,评审解析失败，评分采用默认值
Y1-T4,Anthropic,Claude Opus 4.6,200,OK,23515.53,True,ok,10,10,10,8,7,6,3,54,主体内容到位，支架策略存在，但文档完整性受影响
